Country,n_observations,mean_salary_usd,median_salary_usd
Afghanistan,8,12227.25,6121.0
Albania,12,47973.583333333336,26269.0
Algeria,15,15935.4,6472.0
Andorra,4,208763.75,200125.5
Angola,4,149857.25,9578.0
Antigua and Barbuda,1,1.0,1.0
Argentina,160,46271.1875,40000.0
Armenia,11,25016.363636363636,9076.0
Australia,568,115901.75,97514.0
Austria,280,79477.625,78310.0
Azerbaijan,9,31202.333333333332,29397.0
Bahrain,2,74240.5,74240.5
Bangladesh,120,15520.941666666668,7895.5
Barbados,2,45450.5,45450.5
Belarus,16,58267.3125,46614.5
Belgium,218,84666.2752293578,69609.0
Belize,1,102121.0,102121.0
Benin,3,6816.333333333333,1698.0
Bhutan,2,20361.0,20361.0
Bolivia,13,25214.30769230769,18784.0
Bosnia and Herzegovina,19,51890.47368421053,47000.0
Botswana,1,1277.0,1277.0
Brazil,638,51762.17868338558,27306.0
Bulgaria,158,54613.57594936709,49817.5
Burundi,1,1697.0,1697.0
Cambodia,5,4694.0,1500.0
Cameroon,8,4547.0,1265.5
Canada,915,100143.3825136612,87550.0
Chile,95,39241.25263157895,33930.0
China,117,47847.63247863248,34125.0
Colombia,131,31370.534351145037,20500.0
"Congo, Republic of the...",2,42811.5,42811.5
Costa Rica,18,71422.11111111111,59500.0
Croatia,82,55424.829268292684,46406.0
Cuba,8,71668.875,14041.5
Cyprus,24,91799.04166666667,92812.0
Czech Republic,361,67003.57340720222,60660.0
Côte d'Ivoire,5,75877.2,33966.0
Democratic Republic of the Congo,4,33000.0,30000.0
Denmark,230,106030.4652173913,98678.0
Djibouti,1,5833.0,5833.0
Dominican Republic,20,44179.6,27681.5
Ecuador,23,40952.260869565216,30000.0
Egypt,63,14671.936507936507,7190.0
El Salvador,9,41800.0,27000.0
Estonia,52,76545.32692307692,69609.0
Ethiopia,18,33087.166666666664,762.0
Finland,191,85162.36125654451,74249.0
France,1026,73794.10916179337,63518.0
Georgia,36,56644.25,53653.5
Germany,2141,86443.71835590845,81210.0
Ghana,22,9833.318181818182,2610.0
Greece,174,53055.137931034486,44260.0
Guatemala,29,37647.89655172414,29668.0
Guinea,1,2773.0,2773.0
Guyana,3,31566.333333333332,35871.0
Haiti,1,9149.0,9149.0
Honduras,6,22198.833333333332,11982.0
Hong Kong (S.A.R.),40,111564.3,76433.0
Hungary,169,55376.591715976334,46266.0
Iceland,7,88158.71428571429,117637.0
India,1093,44393.36413540714,17436.0
Indonesia,81,17902.716049382718,5638.0
"Iran, Islamic Republic of...",75,277297.2,18516.0
Iraq,3,15420.666666666666,18000.0
Ireland,154,121326.81818181818,116015.0
Isle of Man,9,82521.44444444444,83632.0
